ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10001_1.1_01_ARC1,23,6,3,29,26,3,3,0.897,0.103,9,0.310,MaxEntropy,66,113,130
10001_1.1_01_ARC1,22,7,4,29,26,3,3,0.897,0.103,11,0.379,MaxEntropy,74,109,100
10001_1.1_01_ARC1,16,13,3,29,19,10,10,0.655,0.345,16,0.552,MaxEntropy,74,109,110
10001_1.1_01_ARC1,16,13,2,29,18,11,11,0.621,0.379,15,0.517,MaxEntropy,74,109,120
10001_1.1_01_ARC1,13,16,0,29,13,16,16,0.448,0.552,16,0.552,MaxEntropy,74,109,130
10001_1.1_01_ARC1,23,6,5,29,28,1,1,0.966,0.034,11,0.379,MaxEntropy,74,113,100
10001_1.1_01_ARC1,19,10,4,29,23,6,6,0.793,0.207,14,0.483,MaxEntropy,74,113,110
10001_1.1_01_ARC1,18,11,4,29,22,7,7,0.759,0.241,15,0.517,MaxEntropy,74,113,120
10001_1.1_01_ARC1,18,11,2,29,20,9,9,0.690,0.310,13,0.448,MaxEntropy,74,113,130
10001_1.1_01_ARC1,29,0,9,29,38,-9,9,1.310,0.310,9,0.310,Moments,50,109,100
10001_1.1_01_ARC1,29,0,9,29,38,-9,9,1.310,0.310,9,0.310,Moments,50,109,110
10001_1.1_01_ARC1,29,0,8,29,37,-8,8,1.276,0.276,8,0.276,Moments,50,109,120
10001_1.1_01_ARC1,29,0,7,29,36,-7,7,1.241,0.241,7,0.241,Moments,50,109,130
10001_1.1_01_ARC1,29,0,11,29,40,-11,11,1.379,0.379,11,0.379,Moments,50,113,100
10001_1.1_01_ARC1,29,0,10,29,39,-10,10,1.345,0.345,10,0.345,Moments,50,113,110
10001_1.1_01_ARC1,29,0,9,29,38,-9,9,1.310,0.310,9,0.310,Moments,50,113,120
10001_1.1_01_ARC1,29,0,8,29,37,-8,8,1.276,0.276,8,0.276,Moments,50,113,130
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,58,109,100
10001_1.1_01_ARC1,28,1,7,29,35,-6,6,1.207,0.207,8,0.276,Moments,58,109,110
10001_1.1_01_ARC1,28,1,6,29,34,-5,5,1.172,0.172,7,0.241,Moments,58,109,120
10001_1.1_01_ARC1,27,2,5,29,32,-3,3,1.103,0.103,7,0.241,Moments,58,109,130
10001_1.1_01_ARC1,28,1,10,29,38,-9,9,1.310,0.310,11,0.379,Moments,58,113,100
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,58,113,110
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,58,113,120
10001_1.1_01_ARC1,27,2,7,29,34,-5,5,1.172,0.172,9,0.310,Moments,58,113,130
10001_1.1_01_ARC1,26,3,7,29,33,-4,4,1.138,0.138,10,0.345,Moments,66,109,100
10001_1.1_01_ARC1,26,3,6,29,32,-3,3,1.103,0.103,9,0.310,Moments,66,109,110
10001_1.1_01_ARC1,23,6,4,29,27,2,2,0.931,0.069,10,0.345,Moments,66,109,120
10001_1.1_01_ARC1,23,6,4,29,27,2,2,0.931,0.069,10,0.345,Moments,66,109,130
10001_1.1_01_ARC1,26,3,9,29,35,-6,6,1.207,0.207,12,0.414,Moments,66,113,100
10001_1.1_01_ARC1,26,3,9,29,35,-6,6,1.207,0.207,12,0.414,Moments,66,113,110
10001_1.1_01_ARC1,25,4,8,29,33,-4,4,1.138,0.138,12,0.414,Moments,66,113,120
10001_1.1_01_ARC1,24,5,5,29,29,0,0,1.000,0.000,10,0.345,Moments,66,113,130
10001_1.1_01_ARC1,22,7,5,29,27,2,2,0.931,0.069,12,0.414,Moments,74,109,100
10001_1.1_01_ARC1,19,10,4,29,23,6,6,0.793,0.207,14,0.483,Moments,74,109,110
10001_1.1_01_ARC1,16,13,4,29,20,9,9,0.690,0.310,17,0.586,Moments,74,109,120
10001_1.1_01_ARC1,14,15,1,29,15,14,14,0.517,0.483,16,0.552,Moments,74,109,130
10001_1.1_01_ARC1,23,6,8,29,31,-2,2,1.069,0.069,14,0.483,Moments,74,113,100
